code,name,floor,ideaCode,ideaName,ideaDescription
STA1,Creation,1st Floor,IDE1,Offline Editor,Creator can create content even in offline mode 
STA1,Creation,1st Floor,IDE2,AI Assisted Content Creation,"Appu, the bot can help content creators in creating content by suggestion relevant keyword, creating topic-based  questions "
STA1,Creation,1st Floor,IDE3,Question Bank Generation,Appu can help you to create qustion sets  based on the required topic
STA1,Creation,1st Floor,IDE4,Taxonomy Enrichment,Appu can help you to make content more discoverable by fetching all the content based on the given keyword and its related keywords
STA1,Creation,1st Floor,IDE5,Content Curation,Appu can help creator by suggestion better words and better keywords to use for content creation
STA2,Classroom,2nd Floor,IDE1,APPU Classroom,"Appu helps in  student engagement, perfomance and attendance tracking"
STA2,Classroom,2nd Floor,IDE2,Multiplayer Quiz,Appu helps to conduct inter school quize compition 
STA2,Classroom,2nd Floor,IDE3,Library (Offline Consumption),You can now create and consume content in offline mode(It is only applicable to content with ECML format)
STA2,Classroom,2nd Floor,IDE4,AR/VR Classroom,Appu helps student to learn using 3D object ( text to object/object to text)
STA3,Staffroom,2nd Floor,IDE1,Staffroom,"Review previous Period's class performance, prepare for the next class, assemble course materials semi automatically"
STA3,Staffroom,2nd Floor,IDE2,Follow up,"Right after the class, relfect on the class progression, share notes with parents if necessary"
STA4,Home,3rd Floor,IDE1,Home,"In the App, parents/gurdian can see their child's academic progress, classroom activity and any given homeworks, all in a unified interface"
STA5,AdminOffice,3rd Floor,IDE1,Admin Office,"Demonstrates real-time dashboards from Devcon events. Also, displays feature dashboard usage for Diksha"
STA5,AdminOffice,3rd Floor,IDE2,Druid Center,Demonstrates the capability of druid and allows visitors to create adhoc reports on the fly
STA6,NOC,3rd Floor,IDE1,NOC Center,"Watch in realtime, how all activities being done the DevCon are powered by computing infrastrucure, and watch out for some SCIFI starwars experience"
STA7,Bazaar,4th Floor,IDE1,Jedi Academy,"Scan QR code, get relevant Content from repositories other than DIKSHA"
STA7,Bazaar,4th Floor,IDE2,Data Room,"Search for suitable algorithms in the market place, deploy it on the ML workbench in a protected virtual data room"
STA7,Bazaar,4th Floor,IDE3,Script less automation,"Using Robotic Process Automation, log-in and log-out of DIKSHA painlessly without keystrokes or code"
STA7,Bazaar,4th Floor,IDE4,E-Commerce with registry,Demonstrates how a teacher can use DIKSHA ID in a commercial context and become eligible for select offers
STA7,Bazaar,4th Floor,IDE5,OpenRAP - Device management,
STA7,Bazaar,4th Floor,IDE6,Crowd Sourcing,"A skilled person can curate content, ragardless of his or her affiliations and thus it imrpoves the overal system capability. The content creators get rewarded for their contribution in content."
